use,1,1,0,1,0,0,0,0,0
DCLRE1CP1,NA,NA,NA,NA,NA,NA,NA,gene,NA
DCN,decorin ,NA,NA,NA,NA,NA,NA,gene,NA
DDAH1,n,hydrolase,NA,NA,NA,NA,NA,gene,NA
DDX60,atp-dependent rna helicase ddx60-related ,rna helicase,NA,NA,NA,NA,NA,gene,NA
DENND1C,denn domain-containing protein 1c ,NA,NA,NA,NA,NA,NA,gene,NA
DENND2D,denn domain-containing protein 2d ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
DGKI,diacylglycerol kinase iota ,kinase,NA,NA,NA,NA,NA,gene,NA
DIPK2B,divergent protein kinase domain 2b ,NA,NA,NA,NA,NA,NA,gene,NA
DIRAS1,gtp-binding protein di-ras1 ,small gtpase,NA,NA,NA,NA,NA,gene,NA
DKK2,dickkopf-related protein 2 ,membrane trafficking regulatory protein,NA,NA,NA,NA,NA,gene,NA
DLL4,delta-like protein 4 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
DLX1,homeobox protein dlx-1 ,homeodomain transcription factor,NA,NA,NA,NA,NA,gene,NA
DLX2,homeobox protein dlx-2 ,homeodomain transcription factor,NA,NA,NA,NA,NA,gene,NA
DLX2-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
DNAJC5B,dnaj homolog subfamily c member 5b ,chaperone,NA,NA,NA,NA,NA,gene,NA
DNM1,dynamin-1 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
DOCK8,dedicator of cytokinesis protein 8 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
DOK2,docking protein 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DOK3,docking protein 3 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DPT,dermatopontin ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
DTNB-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
DTX3L,e3 ubiquitin-protein ligase dtx3l ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
DYNC2H1,cytoplasmic dynein 2 heavy chain 1 ,microtubule binding motor protein,NA,NA,NA,NA,NA,gene,NA
E2F3P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
EBF1,transcription factor coe1 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
EBF2,transcription factor coe2 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
EBI3,interleukin-27 subunit beta ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
ECM2,extracellular matrix protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
ECSCR,endothelial cell-specific chemotaxis regulator ,NA,NA,NA,NA,NA,NA,gene,NA
EDIL3,egf-like repeat and discoidin i-like domain-containing protein 3 ,oxidoreductase,NA,NA,NA,NA,NA,gene,NA
EDIL3-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
EFCC1,NA,NA,NA,NA,NA,NA,NA,gene,NA
EFNB3,ephrin-b3 ,membrane-bound signaling molecule,NA,NA,NA,NA,NA,gene,NA
ELN,elastin ,structural protein,NA,NA,NA,NA,NA,gene,NA
EMCN,endomucin ,NA,NA,NA,NA,NA,NA,gene,NA
EML4-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
ENG,endoglin ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
EOMES,eomesodermin homolog ,rel homology transcription factor,NA,NA,NA,NA,NA,gene,NA
EPSTI1,epithelial-stromal interaction protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
ESAM,endothelial cell-selective adhesion molecule ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
EVI2B,protein evi2b ,NA,NA,NA,NA,NA,NA,gene,NA
EXOC3L4,exocyst complex component 3-like protein 4 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
F10,protein fam110a ,NA,NA,NA,NA,NA,NA,gene,NA
F13A1,coagulation factor xiii a chain ,transferase,NA,NA,NA,NA,NA,gene,NA
FAM110D,protein fam110d ,NA,NA,NA,NA,NA,NA,gene,NA
FAM124B,protein fam124b ,NA,NA,NA,NA,NA,NA,gene,NA
FAM13C,protein fam13c ,NA,NA,NA,NA,NA,NA,gene,NA
FAM155A,transmembrane protein fam155a ,NA,NA,NA,NA,NA,NA,gene,NA
FAM168A,protein fam168a ,myelin protein,NA,NA,NA,NA,NA,gene,NA
FAM168B,myelin-associated neurite-outgrowth inhibitor ,myelin protein,NA,NA,NA,NA,NA,gene,NA
FAM171A2,protein fam171a2 ,NA,NA,NA,NA,NA,NA,gene,NA
FAM30A,NA,NA,NA,NA,NA,NA,NA,gene,NA
FARP1,"ferm, arhgef and pleckstrin domain-containing protein 1 ",NA,NA,NA,NA,NA,NA,gene,NA
FASLG,tumor necrosis factor ligand superfamily member 6 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
FAT4,protocadherin fat 4 ,cadherin,NA,NA,NA,NA,NA,gene,NA
FBLN5,fibulin-5 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
FBN1,fibrillin-1 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
FBXO6,f-box only protein 6 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
FCGR1CP,NA,NA,NA,NA,NA,NA,NA,gene,NA
FCGR3A,low affinity immunoglobulin gamma fc region receptor iii-a-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FCRL1,NA,NA,NA,NA,NA,NA,NA,gene,NA
FCRL4,fc receptor-like protein 4 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FCRL6,fc receptor-like protein 6 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FGD3,"fyve, rhogef and ph domain-containing protein 3 ",guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
FGD5,"fyve, rhogef and ph domain-containing protein 5 ",guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
FGF10,fibroblast growth factor 10 ,growth factor,NA,NA,NA,NA,NA,gene,NA
FGF14,fibroblast growth factor 14 ,growth factor,NA,NA,NA,NA,NA,gene,NA
FGF18,fibroblast growth factor 18 ,growth factor,NA,NA,NA,NA,NA,gene,NA
FGF7,fibroblast growth factor 7 ,growth factor,NA,NA,NA,NA,NA,gene,NA
FGL2,fibroleukin ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
FGR,tyrosine-protein kinase fgr ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
FHL5,four and a half lim domains protein 5 ,transcription cofactor,NA,NA,NA,NA,NA,gene,NA
FIBIN,fin bud initiation factor homolog ,NA,NA,NA,NA,NA,NA,gene,NA
FILIP1,filamin-a-interacting protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
FILIP1L,filamin a-interacting protein 1-like ,NA,NA,NA,NA,NA,NA,gene,NA
FKBP9,peptidyl-prolyl cis-trans isomerase fkbp1b ,chaperone,NA,NA,NA,NA,NA,gene,NA
FKBP9P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
FLI1,friend leukemia integration 1 transcription factor ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
FLT1,vascular endothelial growth factor receptor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FLT3,receptor-type tyrosine-protein kinase flt3 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FLT3LG,fms-related tyrosine kinase 3 ligand ,cytokine,NA,NA,NA,NA,NA,gene,NA
FMNL1,formin-like protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
FMNL1-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
FMOD,fibromodulin ,NA,NA,NA,NA,NA,NA,gene,NA
FNDC4,NA,NA,NA,NA,NA,NA,NA,gene,NA
FOLR2,folate receptor beta ,membrane trafficking regulatory protein,NA,NA,NA,NA,NA,gene,NA
FOXP3,forkhead box protein p3 ,NA,NA,NA,NA,NA,NA,gene,NA
FPR3,n-formyl peptide receptor 3 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
FREM2,fras1-related extracellular matrix protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
FRMD6,ferm domain-containing protein 6 ,NA,NA,NA,NA,NA,NA,gene,NA
FRY,protein furry homolog ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
FRZB,secreted frizzled-related protein 3 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FTH1P22,NA,NA,NA,NA,NA,NA,NA,gene,NA
FUT7,alpha-,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
FXYD6,fxyd domain-containing ion transport regulator 6-related ,primary active transporter,NA,NA,NA,NA,NA,gene,NA
FYB1,fyn-binding protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
FZD1,frizzled-1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FZD4,frizzled-4 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
FZD7,frizzled-7 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GALNT15,polypeptide n-acetylgalactosaminyltransferase 15 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
GALNT16,polypeptide n-acetylgalactosaminyltransferase 16 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
GALNT17,polypeptide n-acetylgalactosaminyltransferase-like 6 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
GAPT,protein gapt ,NA,NA,NA,NA,NA,NA,gene,NA
GBP1,guanylate-binding protein 1 ,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GBP2,guanylate-binding protein 2 ,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GBP4,guanylate-binding protein 4 ,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GDF10,growth/differentiation factor 10 ,growth factor,NA,NA,NA,NA,NA,gene,NA
GDF11,growth/differentiation factor 11 ,growth factor,NA,NA,NA,NA,NA,gene,NA
GFI1,zinc finger protein gfi-1 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
GFRA1,gdnf family receptor alpha-1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GHRL,appetite-regulating hormone ,peptide hormone,NA,NA,NA,NA,NA,gene,NA
GIMAP2,gtpase imap family member 2 ,small gtpase,NA,NA,NA,NA,NA,gene,NA
GIMAP4,gtpase imap family member 4 ,small gtpase,NA,NA,NA,NA,NA,gene,NA
GJA4,gap junction alpha-4 protein ,gap junction,NA,NA,NA,NA,NA,gene,NA
GJA5,gap junction alpha-5 protein ,gap junction,NA,NA,NA,NA,NA,gene,NA
GLG1,golgi apparatus protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
GLIS2,zinc finger protein glis2 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
GMFG,glia maturation factor gamma ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
GMIP,gem-interacting protein ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
GNGT2,guanine nucleotide-binding protein g,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GNLY,granulysin ,NA,NA,NA,NA,NA,NA,gene,NA
GP5,platelet glycoprotein v ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
GPBAR1,g-protein coupled bile acid receptor 1 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPIHBP1,glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 ,protein-binding activity modulator,NA,NA,NA,NA,NA,gene,NA
GPR132,g-protein coupled receptor 132-related ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR141,g-protein coupled receptor 141-related ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR174,g-protein coupled receptor 174-related ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR18,n-arachidonyl glycine receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR183,g-protein coupled receptor 183 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR25,g-protein coupled receptor 25-related ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR31,12-,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR4,g-protein coupled receptor 4 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR82,g-protein coupled receptor 82-related ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GPR84,g-protein coupled receptor 84 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
GREM2,gremlin-2 ,NA,NA,NA,NA,NA,NA,gene,NA
GRID1,"glutamate receptor ionotropic, delta-1 ",transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GRIK2,"glutamate receptor ionotropic, kainate 2 ",transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GRIN3A,"glutamate receptor ionotropic, nmda 3a ",transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GSTM5,glutathione s-transferase mu 5 ,transferase,NA,NA,NA,NA,NA,gene,NA
GTSF1L,gametocyte-specific factor 1-like ,NA,NA,NA,NA,NA,NA,gene,NA
GUCY1A2,guanylate cyclase soluble subunit alpha-2 ,guanylate cyclase,NA,NA,NA,NA,NA,gene,NA
GVINP1,interferon-induced very large gtpase 1 ,NA,NA,NA,NA,NA,NA,gene,NA
GZMM,granzyme m ,serine protease,NA,NA,NA,NA,NA,gene,NA
HAPLN3,hyaluronan and proteoglycan link protein 3 ,extracellular matrix glycoprotein,NA,NA,NA,NA,NA,gene,NA
HCP5,NA,NA,NA,NA,NA,NA,NA,gene,NA
HCST,hematopoietic cell signal transducer ,NA,NA,NA,NA,NA,NA,gene,NA
HEATR9,protein heatr9 ,NA,NA,NA,NA,NA,NA,gene,NA
HECW2,e3 ubiquitin-protein ligase hecw2 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
HEG1,protein heg homolog 1 ,NA,NA,NA,NA,NA,NA,gene,NA
HEPH,hephaestin ,oxidase,NA,NA,NA,NA,NA,gene,NA
HEY2,hairy/enhancer-of-split related with yrpw motif protein 2 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
HEYL,hairy/enhancer-of-split related with yrpw motif-like protein ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
HGF,hepatocyte growth factor ,serine protease,NA,NA,NA,NA,NA,gene,NA
HIC1,hypermethylated in cancer 1 protein ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
HK3,hexokinase-3 ,kinase,NA,NA,NA,NA,NA,gene,NA
HLA-A,"hla class i histocompatibility antigen, a alpha chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DOB,"hla class ii histocompatibility antigen, do beta chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DPA3,NA,NA,NA,NA,NA,NA,NA,gene,NA
HLA-DPB2,NA,NA,NA,NA,NA,NA,NA,gene,NA
HLA-DQA2,"hla class ii histocompatibility antigen, dq alpha 2 chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DQB1-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
HLA-DQB2,"hla class ii histocompatibility antigen, dq beta 2 chain ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DRA,"hla class ii histocompatibility antigen, dr alpha chain-related ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-DRB6,NA,NA,NA,NA,NA,NA,NA,gene,NA
HLA-DRB9,NA,NA,NA,NA,NA,NA,NA,gene,NA
HLA-E,"hla class i histocompatibility antigen, alpha chain e ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HLA-H,"hla class i histocompatibility antigen, alpha chain h-related ",major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
HMCN2,hemicentin-2-related ,NA,NA,NA,NA,NA,NA,gene,NA
HMGB1P17,NA,NA,NA,NA,NA,NA,NA,gene,NA
HMGB3P32,NA,NA,NA,NA,NA,NA,NA,gene,NA
HMGCLL1,"3-hydroxy-3-methylglutaryl-coa lyase, cytoplasmic ",lyase,NA,NA,NA,NA,NA,gene,NA
HNRNPA1P21,NA,NA,NA,NA,NA,NA,NA,gene,NA
HNRNPA1P70,NA,NA,NA,NA,NA,NA,NA,gene,NA
HSD3BP5,NA,NA,NA,NA,NA,NA,NA,gene,NA
HSF5,heat shock factor protein 5 ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
HSH2D,hematopoietic sh2 domain-containing protein ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
HSPA12B,heat shock 70 kda protein 12b ,NA,NA,NA,NA,NA,NA,gene,NA
HSPB6,heat shock protein beta-6 ,chaperone,NA,NA,NA,NA,NA,gene,NA
HVCN1,voltage-gated hydrogen channel 1 ,NA,NA,NA,NA,NA,NA,gene,NA
ICAM2,intercellular adhesion molecule 2 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
ICAM3,intercellular adhesion molecule 3 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
ICOS,inducible t-cell costimulator ,NA,NA,NA,NA,NA,NA,gene,NA
IDO2,"indoleamine 2,3-dioxygenase 2 ",oxygenase,NA,NA,NA,NA,NA,gene,NA
IFI30,gamma-interferon-inducible lysosomal thiol reductase ,reductase,NA,NA,NA,NA,NA,gene,NA
IFI44L,interferon-induced protein 44-like ,NA,NA,NA,NA,NA,NA,gene,NA
IFIH1,interferon-induced helicase c domain-containing protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
IFIT2,interferon-induced protein with tetratricopeptide repeats 2 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
IFIT3,interferon-induced protein with tetratricopeptide repeats 3 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
IFITM3P6,NA,NA,NA,NA,NA,NA,NA,gene,NA
IFNG,interferon gamma ,interferon superfamily,NA,NA,NA,NA,NA,gene,NA
IFNG-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGF1R,insulin-like growth factor 1 receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IGFL3,insulin growth factor-like family member 3 ,growth factor,NA,NA,NA,NA,NA,gene,NA
IGFLR1,igf-like family receptor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IGHG1,immunoglobulin heavy constant gamma 1-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
IGHG3,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHGP,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV3-43,immunoglobulin heavy variable 3-43-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV3-73,immunoglobulin heavy variable 3-73 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKJ5,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGKV1-39,immunoglobulin kappa variable 1-39-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV2-24,immunoglobulin kappa variable 2-24-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV2-30,immunoglobulin kappa variable 2-30-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV2D-29,immunoglobulin kappa variable 2d-29 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLJ1,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGLV3-16,immunoglobulin lambda variable 3-16 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV5-48,immunoglobulin lambda variable 5-37-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV9-49,immunoglobulin lambda variable 9-49 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGSF6,immunoglobulin superfamily member 6 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IKZF3,zinc finger protein aiolos ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
IL12B,interleukin-12 subunit beta ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL15,interleukin-15 ,interleukin superfamily,NA,NA,NA,NA,NA,gene,NA
IL15RA,interleukin-15 receptor subunit alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL18BP,interleukin-18-binding protein ,NA,NA,NA,NA,NA,NA,gene,NA
IL18RAP,interleukin-18 receptor accessory protein ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL1R1,interleukin-1 receptor type 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL2,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL21,interleukin-21 ,interleukin superfamily,NA,NA,NA,NA,NA,gene,NA
IL21-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL21R-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL27,interleukin-27 subunit alpha ,interleukin superfamily,NA,NA,NA,NA,NA,gene,NA
IL2RA,interleukin-2 receptor subunit alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL2RG,cytokine receptor common subunit gamma ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL32,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL4I1,l-amino-acid oxidase ,oxidase,NA,NA,NA,NA,NA,gene,NA
IL7,NA,NA,NA,NA,NA,NA,NA,gene,NA
IL9R,interleukin-9 receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
INMT,indolethylamine n-methyltransferase ,methyltransferase,NA,NA,NA,NA,NA,gene,NA
INPP5D,"phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 ",NA,NA,NA,NA,NA,NA,gene,NA
INSL3,insulin-like 3 ,NA,NA,NA,NA,NA,NA,gene,NA
IPCEF1,cnk3/ipcef1 fusion protein-related ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
IQSEC1,iq motif and sec7 domain-containing protein 1 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
IQSEC3,iq motif and sec7 domain-containing protein 3 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
IRAG1,"inositol 1,4,5-triphosphate receptor associated 1 ",scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
IRF1,interferon regulatory factor 1 ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
IRF1-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
IRF2,interferon regulatory factor 2 ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
IRS2,insulin receptor substrate 2 ,NA,NA,NA,NA,NA,NA,gene,NA
ITGA1,integrin alpha-1 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGA8,integrin alpha-8 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGAD,integrin alpha-d ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGAX,integrin alpha-x ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGB2,integrin beta-2 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGB2-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
ITGB5,integrin beta-5 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGB7,integrin beta-7 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITGBL1,integrin beta-like protein 1 ,integrin,NA,NA,NA,NA,NA,gene,NA
ITK,tyrosine-protein kinase itk/tsk ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
ITSN1,intersectin-1 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
JAK2,tyrosine-protein kinase jak2 ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
JAK3,tyrosine-protein kinase jak3 ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
JAKMIP1,janus kinase and microtubule-interacting protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
JAM2,junctional adhesion molecule b ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
JAM3,junctional adhesion molecule c ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
JAML,junctional adhesion molecule-like ,myelin protein,NA,NA,NA,NA,NA,gene,NA
JCAD,junctional protein associated with coronary artery disease ,NA,NA,NA,NA,NA,NA,gene,NA
KANK3,kn motif and ankyrin repeat domain-containing protein 3 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
KANK4,kn motif and ankyrin repeat domain-containing protein 4 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
KCNA3,potassium voltage-gated channel subfamily a member 3 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
KCNJ8,atp-sensitive inward rectifier potassium channel 8 ,ion channel,NA,NA,NA,NA,NA,gene,NA
KCNK2,potassium channel subfamily k member 2 ,ion channel,NA,NA,NA,NA,NA,gene,NA
KCNT2,potassium channel subfamily t member 2 ,ion channel,NA,NA,NA,NA,NA,gene,NA
KCTD12,btb/poz domain-containing protein kctd12 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
KDR,vascular endothelial growth factor receptor 2 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
KIAA1549,upf0606 protein kiaa1549 ,NA,NA,NA,NA,NA,NA,gene,NA
KIF21B,kinesin-like protein kif21b ,microtubule binding motor protein,NA,NA,NA,NA,NA,gene,NA
KIF7,kinesin-like protein kif7 ,microtubule binding motor protein,NA,NA,NA,NA,NA,gene,NA
KIR2DL4,killer cell immunoglobulin-like receptor 2dl4 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KIR3DL1,killer cell immunoglobulin-like receptor 3dl1-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KIR3DL2,killer cell immunoglobulin-like receptor 2dl2-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KIR3DX1,killer cell immunoglobulin-like receptor-like protein kir3dx1-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
KIRREL1,kin of irre-like protein 1 ,immunoglobulin superfamily cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
KL,klotho ,glycosidase,NA,NA,NA,NA,NA,gene,NA
KLF2,krueppel-like factor 2 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
KLHDC7B,kelch domain-containing protein 7b ,NA,NA,NA,NA,NA,NA,gene,NA
KLRB1,killer cell lectin-like receptor subfamily b member 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
KLRC1,nkg2-a/nkg2-b type ii integral membrane protein ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
KLRC4-KLRK1,NA,NA,NA,NA,NA,NA,NA,gene,NA
KLRD1,natural killer cells antigen cd94 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
KLRG1,killer cell lectin-like receptor subfamily g member 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
KLRK1,nkg2-d type ii integral membrane protein ,NA,NA,NA,NA,NA,NA,gene,NA
LAG3,lymphocyte activation gene 3 protein ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
LAIR2,leukocyte-associated immunoglobulin-like receptor 1-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
LAMA2,laminin subunit alpha-2 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
